"comp_name","squad","player_name","player_position","player_age","player_nationality","player_foot","player_market_value_euro","matches","minutes","goals_per90","assists_per90","xg_per90","xa_per90","shots_per90","shots_on_target_per90","completed_passes_total","completed_passes_percent","progressive_passes","tackles","blocks","interceptions","pressures","goals_against_per90","save_percent","clean_sheet_percent"
"Premier League","Manchester City","Ederson","Goalkeeper",28,"Brazil","left",50,36,3240,0,0.03,0,0.01,0,0,906,83.1,1,0,0,0,5,0.78,75,52.8
"Premier League","Manchester City","Zack Steffen","Goalkeeper",26,"United States","right",6,1,90,0,0,0,0,0,0,23,82.1,0,0,0,0,0,1,50,0
"Premier League","Manchester City","Scott Carson","Goalkeeper",36,"England","right",0.3,1,90,0,0,0,0,0,0,15,93.8,0,0,0,0,0,3,33.3,0
"Premier League","Manchester City","Rúben Dias","Centre-Back",24,"Portugal","right",75,32,2843,0.03,0,0.07,0,0.44,0.22,2499,93.5,116,31,45,22,181,0,0,0
"Premier League","Manchester City","Aymeric Laporte","Centre-Back",27,"Spain","left",45,16,1344,0,0,0.05,0.05,0.4,0.07,1160,92,72,13,18,8,81,0,0,0
"Premier League","Manchester City","Nathan Aké","Centre-Back",26,"Netherlands","left",32,10,797,0.11,0,0.01,0,0.34,0.11,702,93,36,15,6,6,73,0,0,0
"Premier League","Manchester City","John Stones","Centre-Back",27,"England","right",30,22,1933,0.19,0,0.1,0,0.7,0.23,1615,94.3,75,20,31,20,130,0,0,0
"Premier League","Manchester City","Oleksandr Zinchenko","Left-Back",25,"Ukraine","left",28,20,1478,0,0,0.04,0.08,0.97,0.24,1331,90.2,93,21,26,20,149,0,0,0
"Premier League","Manchester City","Benjamin Mendy","Left-Back",27,"France","left",10,13,953,0.19,0.09,0.04,0.04,0.57,0.19,532,81.7,49,15,24,6,125,0,0,0
"Premier League","Manchester City","João Cancelo","Right-Back",27,"Portugal","right",55,28,2299,0.08,0.12,0.08,0.19,1.37,0.43,1795,85.7,166,77,38,53,338,0,0,0
"Premier League","Manchester City","Kyle Walker","Right-Back",31,"England","right",28,24,1946,0.05,0.05,0.01,0.02,0.46,0.14,1695,89.4,107,37,29,15,236,0,0,0
"Premier League","Manchester City","Rodri","Defensive Midfield",25,"Spain","right",70,34,2748,0.07,0.07,0.08,0.06,1.02,0.23,2495,91.5,156,83,42,40,514,0,0,0
"Premier League","Manchester City","Fernandinho","Defensive Midfield",36,"Brazil","right",2,21,1188,0,0.15,0.06,0.07,1.14,0.23,878,87.7,96,31,15,26,223,0,0,0
"Premier League","Manchester City","Phil Foden","Central Midfield",21,"England","left",80,28,1616,0.5,0.28,0.31,0.23,2.51,1.11,687,82,60,26,15,12,307,0,0,0
"Premier League","Manchester City","Ilkay Gündogan","Central Midfield",31,"Germany","right",40,28,2029,0.58,0.09,0.4,0.2,2.31,0.93,1553,91,118,25,15,19,215,0,0,0
"Premier League","Manchester City","Kevin De Bruyne","Attacking Midfield",30,"Belgium","right",100,25,1997,0.27,0.54,0.44,0.46,3.56,1.13,1068,76,173,37,27,16,376,0,0,0
"Premier League","Manchester City","Bernardo Silva","Attacking Midfield",27,"Portugal","left",70,26,2065,0.09,0.26,0.12,0.16,1.22,0.57,1280,89.7,72,32,20,21,375,0,0,0
"Premier League","Manchester City","Jack Grealish","Left Winger",26,"England","right",100,26,2185,0.25,0.41,0.18,0.35,2.02,0.7,864,78.5,168,27,26,13,316,0,0,0
"Premier League","Manchester City","Raheem Sterling","Left Winger",27,"England","right",90,31,2536,0.35,0.25,0.43,0.17,2.38,0.99,962,85.4,62,20,17,14,288,0,0,0
"Premier League","Manchester City","Ferran Torres","Right Winger",21,"Spain","right",50,24,1306,0.48,0.14,0.37,0.13,2.48,0.96,360,81.4,34,15,17,7,217,0,0,0
"Premier League","Manchester City","Riyad Mahrez","Right Winger",30,"Algeria","left",42,27,1949,0.42,0.28,0.26,0.27,2.68,1.02,914,84.2,88,20,24,6,252,0,0,0
"Premier League","Manchester City","Gabriel Jesus","Centre-Forward",24,"Brazil","right",60,29,2063,0.39,0.17,0.38,0.15,2.36,0.7,638,84.6,31,23,19,19,331,0,0,0
"Premier League","Manchester United","Dean Henderson","Goalkeeper",24,"England","right",22,13,1125,0,0,0,0,0,0,236,75.2,0,0,0,0,4,0.96,76,33.3
"Premier League","Manchester United","David de Gea","Goalkeeper",31,"Spain","right",18,26,2295,0,0,0,0,0,0,458,77.1,0,0,0,0,0,1.25,67.1,34.6
"Premier League","Manchester United","Raphaël Varane","Centre-Back",28,"France","right",70,31,2715,0.07,0,0.07,0,0.56,0.13,1588,91.1,86,25,42,36,182,0,0,0
"Premier League","Manchester United","Harry Maguire","Centre-Back",28,"England","right",50,34,3047,0.06,0.03,0.06,0.01,1.06,0.27,1904,89,104,30,45,61,191,0,0,0
"Premier League","Manchester United","Victor Lindelöf","Centre-Back",27,"Sweden","right",24,29,2585,0.03,0.03,0.02,0.02,0.14,0.03,1640,91.1,92,26,40,32,192,0,0,0
"Premier League","Manchester United","Eric Bailly","Centre-Back",27,"Cote d'Ivoire","right",10,12,916,0,0,0.01,0,0.2,0,494,90.3,29,9,17,22,55,0,0,0
"Premier League","Manchester United","Luke Shaw","Left-Back",26,"England","left",42,32,2654,0.03,0.17,0.02,0.18,0.37,0.2,1645,81.6,154,61,62,29,363,0,0,0
"Premier League","Manchester United","Alex Telles","Left-Back",29,"Brazil","left",20,9,690,0,0.26,0.02,0.15,0.65,0.13,459,80.5,50,12,11,12,68,0,0,0
"Premier League","Manchester United","Aaron Wan-Bissaka","Right-Back",24,"England","right",40,34,3060,0.06,0.12,0.03,0.07,0.24,0.12,1775,86,125,97,113,66,434,0,0,0
"Premier League","Manchester United","Diogo Dalot","Right-Back",22,"Portugal","right",10,21,1090,0.08,0.08,0.06,0.1,0.83,0.41,463,75.8,42,37,26,18,180,0,0,0
"Premier League","Manchester United","Scott McTominay","Defensive Midfield",25,"Scotland","right",35,32,2129,0.17,0.04,0.09,0.04,1.1,0.3,1109,87.3,104,48,56,51,348,0,0,0
"Premier League","Manchester United","Nemanja Matic","Defensive Midfield",33,"Serbia","left",8,20,1106,0,0,0.02,0.03,0.49,0.24,882,90.5,79,24,30,18,175,0,0,0
"Premier League","Manchester United","Paul Pogba","Central Midfield",28,"France","both",60,26,1897,0.14,0.14,0.1,0.1,1.47,0.52,1112,82.8,111,37,22,25,299,0,0,0
"Premier League","Manchester United","Donny van de Beek","Central Midfield",24,"Netherlands","right",25,19,524,0.17,0.17,0.05,0.17,0.34,0.17,235,84.2,10,12,11,7,105,0,0,0
"Premier League","Manchester United","Fred","Central Midfield",28,"Brazil","left",22,30,2390,0.04,0,0.07,0.1,0.94,0.26,1555,88.2,149,88,62,47,639,0,0,0
"Premier League","Manchester United","Bruno Fernandes","Attacking Midfield",27,"Portugal","right",90,37,3099,0.52,0.35,0.45,0.32,3.19,1.16,1702,74.6,227,60,40,22,718,0,0,0
"Premier League","Manchester United","Jesse Lingard","Attacking Midfield",29,"England","right",22,16,1421,0.57,0.25,0.32,0.09,2.53,1.27,544,81.3,65,15,7,7,335,0,0,0
"Premier League","Manchester United","Juan Mata","Attacking Midfield",33,"Spain","left",4,9,509,0.18,0.35,0.19,0.15,0.71,0.53,247,84,19,2,2,2,65,0,0,0
"Premier League","Manchester United","Hannibal Mejbri","Attacking Midfield",18,"Tunisia","right",3,1,9,0,0,0,0,0,0,3,100,1,0,0,0,6,0,0,0
"Premier League","Manchester United","Jadon Sancho","Left Winger",21,"England","right",90,26,2062,0.35,0.48,0.32,0.3,2.23,0.65,1160,78.7,148,16,38,14,255,0,0,0
"Premier League","Manchester United","Marcus Rashford","Left Winger",24,"England","right",85,37,2920,0.34,0.28,0.29,0.11,2.43,1.11,995,80.6,96,16,24,10,345,0,0,0
"Premier League","Manchester United","Anthony Elanga","Left Winger",19,"Sweden","right",0.8,2,155,0.58,0,0.16,0.02,1.74,0.58,43,81.1,2,4,2,1,49,0,0,0
"Premier League","Manchester United","Mason Greenwood","Right Winger",20,"England","both",50,31,1822,0.35,0.1,0.37,0.09,3.31,1.14,608,83.1,42,19,7,9,263,0,0,0
